"link","description","filetype","group","order within group"
"https://drive.google.com/open?id=0B1cbuv4IxxadTS04czNfUGNzZFk","Agenda","docx","2017-09",1
"https://drive.google.com/open?id=0B1cbuv4IxxadRGpYZ1VYdVkyeUk","Minutes of June 2017 committee meeting","docx","2017-09",2
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 9 October 2017","map","2017-10",1
"https://drive.google.com/open?id=0B1cbuv4Ixxadd2VSdVNpNzhTalk","Agenda","pdf","2017-10",2
"https://drive.google.com/open?id=0B1cbuv4IxxadbG5OUTRQWDRkSXM","Minutes of September 2017 committee meeting","pdf","2017-10",3
"https://drive.google.com/open?id=0B1cbuv4IxxadM0cwTGtQNE1VMzg","Review of club rules (constitution)","pdf","2017-10",4
"https://drive.google.com/open?id=0B1cbuv4IxxadQkpUamlaT2N4NU0","Fundraising / Volunteer Co-ordinator's Report","pdf","2017-10",5
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 13 November 2017","map","2017-11",1
"https://drive.google.com/open?id=0B1cbuv4IxxadTE9wMmtSa084cGc","Agenda","docx","2017-11",2
"https://drive.google.com/open?id=0B1cbuv4IxxadTkx3b0pubmFPLU0","Minutes of October 2017 committee meeting","docx","2017-11",3
"https://drive.google.com/open?id=0B1cbuv4IxxadS1o4aEd3WkcwelE","Proposal to change rule 11(a) of the Club rules regarding account signatories","pdf","2017-11",4
"https://drive.google.com/open?id=0B1cbuv4IxxadVVNQdEZBRVFJY1E","Community charter status report","pdf","2017-11",
"https://goo.gl/maps/HxzPgNzwLaE2","AGM venue: The Bull, East Farleigh. 7 pm, Monday 11 September 2017","map","AGM2017",1
"https://drive.google.com/open?id=0B1cbuv4IxxadSDNqZnZ0ZzVoRVE","BYFC AGM 2016 Minutes ","docx","AGM2017",2
"https://drive.google.com/open?id=0B1cbuv4IxxadOEhZLVRnVVZlZEE","BYFC Annual Report 2016/17","docx","AGM2017",3
"https://drive.google.com/open?id=0B1cbuv4IxxadcEs3Q2pIa0dMQUk","BYFC 2016/17 – P&L and Balance Sheet","xlsx","AGM2017",4
"https://drive.google.com/open?id=0B1cbuv4IxxadbWo0dG5UN3dWUXM","BYFC – Subs Control Account","xlsx","AGM2017",5
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 15 January 2018","map","2018-01",1
"https://drive.google.com/open?id=1SxePhfskSfLRG77cXP8Tyq-13Iyud-he","Agenda","docx","2018-01",2
"https://drive.google.com/open?id=11W43LmR51IIAKV76uMUqD6oxCW1KNytr","Minutes of November 2017 committee meeting","docx","2018-01",3
"https://drive.google.com/open?id=1g7RIvwD1fHaGRISwe60uWFjkT53NOoCa","Charter standard status (Jan 2018)","docx","2018-01",
"https://drive.google.com/open?id=1axbDVlugTC2XBqBhp2ICY3O0maVJHloc","Charter standard status (Nov 2017)","pdf","2018-01",4
"https://drive.google.com/open?id=1X4BxaqvbqxLKmCae8ENhqpUIb-0XUtMl","Kit and equipment","docx","2018-01",5
"https://drive.google.com/open?id=1SIjdPb08uPxpzNu9HVyZp7YfatcCtDpd","Professional training","docx","2018-01",6
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 12 February 2018","map","2018-02",1
"https://drive.google.com/open?id=1KoOy32i0qzpO0a9SJgDH8WG1X0ABCdUr","Agenda","docx","2018-02",2
"https://drive.google.com/open?id=195BNtmfOG7MsUfXb1AljjIGKoQaYtBcA","Minutes of January 2018 committee meeting","docx","2018-02",3
"https://drive.google.com/open?id=1l4nP5lxcYLTVkgMIOcup21PTnHxXfpm_4Ef3xDUet_8","General Data Protection Regulations (GDPR)","docx","2018-02",4
"https://drive.google.com/open?id=1C7DUgAEUPIwpLZiQp528rw2BoVTf79BV","Linesman training","docx","2018-02",5
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 12 March 2018","map","2018-03",1
"https://drive.google.com/open?id=1ltC9hH0iruUu4rV0O0pGlUoPPnEFI7zu","Agenda","docx","2018-03",2
"https://drive.google.com/open?id=1_vurP2Ekl7NMk4nKixQf-ugWcVPw0V7O","Minutes of Febraury 2018 committee meeting","docx","2018-03",3
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 16 April 2018","map","2018-04",1
"https://drive.google.com/open?id=1qsL799sRrivk9EJzT7hUCbre0fodSll9","Agenda","docx","2018-04",2
"https://drive.google.com/open?id=1TzrFgZwNehJEvQm-9iIFB6j6Ynl5ODts","Minutes of March 2018 committee meeting","docx","2018-04",3
"https://drive.google.com/open?id=1nhElsheGzzWMwmus7byliC2J0dckrw14","BYFC charity support","pdf","2018-04",4
"https://drive.google.com/open?id=13EgvFypDmJJIT9B5K2iFiGy_tUGUDy8L","Support for mental health awareness week","pdf","2018-04",5
"https://goo.gl/maps/HxzPgNzwLaE2","Time and place: The Bull, East Farleigh. 8 pm, Monday 21 May 2018","map","2018-05",1
"https://drive.google.com/open?id=19Q62ldwrI2SlwW6aeWEZWaY17MgNeIHi","Agenda","pdf","2018-05",2
