"agegrp","schoolyear","YBC","shortname","name","format","manager","League","homeground","day","time","training","sponsor","sponsorURL","sponsor2","sponsorURL2","blurb","results","leagueTable","Fixtures","availability"
5,"R and 1",1,"buds","Buds (Year R and Year 1)","Training","TBC",,,,,,,,,,"Introducing football skills through fun training activities. Continuing to build on football skills leading to understanding of the 5-a-side game. Game play will develop through training and later tournament participation and friendly 5-a-side games.",,,,"Recruiting"
7,2,1,"U7Y","Under 7 Youth","5-a-side","Chris Knight","Maidstone Invicta Primary League",,,,,,,,,,,,,
7,2,2,"U7B","Under 7 Blues","5-a-side","Damien Herridge","Maidstone Invicta Primary League",,,,,,,,,,,,,
8,3,1,"U8Y","Under 8 Youth","5-a-side","Chris Strange","Maidstone Invicta Primary League",,,,,"Flex Flooring","http://flexflooring.co.uk/",,,,,,,"Recruiting (training only)"
8,3,2,"U8B","Under 8 Blues","5-a-side","Dan Parks","Maidstone Invicta Primary League",,,,,"JJ Motorcycle Transport and Recovery","https://www.facebook.com/pages/category/Local-Service/JJ-Motorcycle-recovery-transport-100930658750505/",,,,,,,"Team full"
8,3,3,"U8C","Under 8 Colts","5-a-side","Matt Jillians","Maidstone Invicta Primary League",,,,,"The Redstart restaurant","https://www.facebook.com/TheRedstart",,,,,,,"Team full"
9,4,1,"U9Y","Under 9 Youth","7-a-side","Tony Browne","Maidstone Invicta Primary League",,,,,"Holland and Holland Roofing","http://www.hollandandhollandroofing.co.uk/","Leyton Orient Fans Trust","http://www.leytonorientfanstrust.com/",,,,,"Team full"
9,4,2,"U9B","Under 9 Blues","7-a-side","Richard Bradford","Maidstone Invicta Primary League",,,,,"Browning House removals",,"EDS Hospitality Ltd","https://www.linkedin.com/in/richard-bradford-42451b61",,,,,"Recruiting experienced players"
9,4,3,"U9C","Under 9 Colts","7-a-side","Lee Williams","Maidstone Invicta Primary League",,,,,"Oakwood Construction Services","https://www.oakwoodconstructionservices.co.uk/","Leyton Orient Fans Trust","http://www.leytonorientfanstrust.com/",,,,,"Recruiting"
10,5,1,"U10Y","Under 10 Youth","7-a-side","Andy Kemp","Maidstone Invicta Primary League",,,,,"Carpet Next Day","http://www.carpetnextday.co.uk/",,,,,,,"Team full"
10,5,3,"U10C","Under 10 Colts","7-a-side","Chris Lankshear","Maidstone Invicta Primary League",,,,,"NRE Services Ltd","http://nreservicesltd.co.uk/",,,,,,,"Team full"
